process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,1x16,372,21.0627,0.0791239,400x400,0.630466,0.99243,1
16,1x16,372,21.9174,0.0760381,400x400,0.630466,0.99243,1
16,1x16,372,23.0208,0.0723937,400x400,0.630466,0.99243,1
16,1x16,265,20.4847,0.0579554,400x400,0.642706,0.99261,1
16,1x16,265,17.2119,0.0689757,400x400,0.642706,0.99261,1
16,1x16,265,20.2811,0.0585372,400x400,0.642706,0.99261,1
16,1x16,265,20.0536,0.0592014,400x400,0.642706,0.99261,1
16,1x16,265,19.3403,0.0613849,400x400,0.642706,0.99261,1
16,1x16,189,16.4212,0.0515628,400x400,0.64676,0.994989,1
16,1x16,189,16.5662,0.0511114,400x400,0.64676,0.994989,1
16,1x16,189,17.5007,0.048382,400x400,0.64676,0.994989,1
16,1x16,189,17.4608,0.0484927,400x400,0.64676,0.994989,1
16,1x16,189,10.9107,0.0776043,400x400,0.64676,0.994989,1
16,1x16,135,18.6478,0.0324328,400x400,0.648244,0.996568,1
16,1x16,135,14.6632,0.0412461,400x400,0.648244,0.996568,1
16,1x16,135,16.1603,0.037425,400x400,0.648244,0.996568,1
16,1x16,135,15.0456,0.0401978,400x400,0.648244,0.996568,1
16,1x16,135,15.6668,0.038604,400x400,0.648244,0.996568,1
16,1x16,96,16.3021,0.0263818,400x400,0.648742,0.997655,1
16,1x16,96,12.1235,0.0354749,400x400,0.648742,0.997655,1
16,1x16,96,16.7661,0.0256518,400x400,0.648742,0.997655,1
16,1x16,96,12.9534,0.033202,400x400,0.648742,0.997655,1
16,1x16,96,13.5293,0.0317888,400x400,0.648742,0.997655,1
16,1x16,68,10.7619,0.0283074,400x400,0.648918,0.998409,1
16,1x16,68,9.1894,0.0331512,400x400,0.648918,0.998409,1
16,1x16,68,9.21996,0.0330414,400x400,0.648918,0.998409,1
16,1x16,68,10.9818,0.0277404,400x400,0.648918,0.998409,1
16,1x16,68,11.473,0.0265529,400x400,0.648918,0.998409,1
16,1x16,48,8.40639,0.0255805,400x400,0.649293,0.998935,1
16,1x16,48,9.09862,0.0236344,400x400,0.649293,0.998935,1
16,1x16,48,8.63485,0.0249037,400x400,0.649293,0.998935,1
16,1x16,48,9.03656,0.0237967,400x400,0.649293,0.998935,1
16,1x16,48,8.4852,0.025343,400x400,0.649293,0.998935,1
16,1x16,34,6.94252,0.0219402,400x400,0.65045,0.999296,1
16,1x16,34,7.13443,0.02135,400x400,0.65045,0.999296,1
16,1x16,34,6.05683,0.0251485,400x400,0.65045,0.999296,1
16,1x16,34,6.8719,0.0221656,400x400,0.65045,0.999296,1
16,1x16,34,6.79706,0.0224097,400x400,0.65045,0.999296,1
16,1x16,24,5.89401,0.0182422,400x400,0.652939,0.999549,1
16,1x16,24,5.46747,0.0196654,400x400,0.652939,0.999549,1
16,1x16,24,5.78341,0.0185911,400x400,0.652939,0.999549,1
16,1x16,24,5.30253,0.0202771,400x400,0.652939,0.999549,1
16,1x16,24,5.66497,0.0189798,400x400,0.652939,0.999549,1
16,1x16,17,4.51059,0.0168847,400x400,0.656909,0.999721,1
16,1x16,17,4.19376,0.0181603,400x400,0.656909,0.999721,1
16,1x16,17,4.98971,0.0152634,400x400,0.656909,0.999721,1
16,1x16,17,5.75943,0.0132235,400x400,0.656909,0.999721,1
16,1x16,17,4.56291,0.0166911,400x400,0.656909,0.999721,1
16,1x16,12,3.35828,0.0160082,400x400,0.662242,0.999836,1
16,1x16,12,3.4399,0.0156283,400x400,0.662242,0.999836,1
16,1x16,12,3.6096,0.0148936,400x400,0.662242,0.999836,1
16,1x16,12,3.51659,0.0152875,400x400,0.662242,0.999836,1
16,1x16,12,3.59355,0.0149602,400x400,0.662242,0.999836,1
16,1x16,8,2.5628,0.0139847,400x400,0.669486,0.999917,1
16,1x16,8,2.27391,0.0157614,400x400,0.669486,0.999917,1
16,1x16,8,2.3207,0.0154436,400x400,0.669486,0.999917,1
16,1x16,8,2.90447,0.0123396,400x400,0.669486,0.999917,1
16,1x16,8,2.57064,0.0139421,400x400,0.669486,0.999917,1
16,1x16,5,1.7325,0.0129293,400x400,0.678138,0.999966,1
16,1x16,5,1.53397,0.0146027,400x400,0.678138,0.999966,1
16,1x16,5,1.5189,0.0147475,400x400,0.678138,0.999966,1
16,1x16,5,1.52546,0.0146841,400x400,0.678138,0.999966,1
16,1x16,5,2.21831,0.0100978,400x400,0.678138,0.999966,1
16,1x16,3,1.22721,0.0109517,400x400,0.686574,0.999989,1
16,1x16,3,1.00996,0.0133075,400x400,0.686574,0.999989,1
16,1x16,3,0.981959,0.0136869,400x400,0.686574,0.999989,1
16,1x16,3,1.17529,0.0114354,400x400,0.686574,0.999989,1
16,1x16,3,0.978878,0.01373,400x400,0.686574,0.999989,1
16,1x16,2,0.898404,0.00997325,400x400,0.692036,0.999996,1
16,1x16,2,0.771308,0.0116166,400x400,0.692036,0.999996,1
16,1x16,2,0.662732,0.0135198,400x400,0.692036,0.999996,1
16,1x16,2,0.678222,0.013211,400x400,0.692036,0.999996,1
16,1x16,2,0.769372,0.0116459,400x400,0.692036,0.999996,1
24,1x24,1024,31.7177,0.144636,400x400,0.604165,0.992437,1
24,1x24,1024,32.3498,0.14181,400x400,0.604165,0.992437,1
24,1x24,1024,31.7792,0.144356,400x400,0.604165,0.992437,1
24,1x24,1024,32.178,0.142567,400x400,0.604165,0.992437,1
